course_id,name,type,credit,total_hours,lecture_hours,lab_hours,semester
C0001,哲学基础,required,5,80,68,12,summer
C0002,逻辑学导论,general,5,80,62,18,spring
C0003,宗教学实践,general,5,80,72,8,fall
C0004,伦理学导论,required,5,80,64,16,spring
C0005,经济学导论,general,3,48,45,3,summer
C0006,经济统计学基础,required,3,48,46,2,fall
C0007,国民经济管理基础,required,3,48,40,8,fall
C0008,资源与环境经济学基础,general,5,80,58,22,spring
C0009,商务经济学概论,general,2,32,24,8,spring
C0010,能源经济导论,required,5,80,69,11,summer
C0011,劳动经济学基础,required,5,80,78,2,summer
C0012,经济工程概论,required,4,64,58,6,spring
C0013,数字经济实践,general,2,32,26,6,fall
C0014,财政学概论,elective,3,48,34,14,summer
C0015,税收学基础,general,2,32,24,8,fall
C0016,国际税收实践,general,2,32,31,1,fall
C0017,金融学概论,general,2,32,25,7,summer
C0018,金融工程概论,general,3,48,46,2,summer
C0019,保险学导论,elective,5,80,70,10,spring
C0020,投资学概论,general,3,48,46,2,summer
C0021,金融数学导论,general,3,48,45,3,spring
C0022,信用管理实践,required,2,32,29,3,spring
C0023,经济与金融实践,elective,3,48,35,13,summer
C0024,精算学基础,required,4,64,52,12,spring
C0025,互联网金融导论,elective,4,64,50,14,spring
C0026,金融科技基础,elective,3,48,42,6,spring
C0027,金融审计导论,elective,5,80,60,20,fall
C0028,国际经济与贸易实践,general,2,32,28,4,spring
C0029,贸易经济实践,elective,3,48,37,11,fall
C0030,国际经济发展合作实践,general,5,80,66,14,summer
C0031,法学实践,general,2,32,32,0,fall
C0032,知识产权实践,general,5,80,68,12,spring
C0033,监狱学导论,general,5,80,73,7,fall
C0034,信用风险管理与法律防控导论,elective,5,80,67,13,fall
C0035,国际经贸规则基础,general,2,32,26,6,summer
C0036,司法警察学导论,required,2,32,26,6,spring
C0037,社区矫正实践,general,2,32,24,8,fall
C0038,纪检监察实践,elective,5,80,56,24,summer
C0039,国际法实践,required,4,64,59,5,fall
C0040,司法鉴定学基础,general,4,64,57,7,summer
